phen,grex,sym,ens,beta,pval,FDR,BON
anterior-cingulate,dlpfc,CENPW,ENSG00000203760,-111.13234006880695,7.18177299363476e-15,6.637394600717246e-11,6.637394600717246e-11
anterior-cingulate,dlpfc,KANSL1-AS1,ENSG00000214401,-21.927754539087505,4.166985041059343e-14,1.9255637874735222e-10,3.8511275749470445e-10
anterior-cingulate,dlpfc,ARL17A,ENSG00000185829,-29.96663348961857,6.363869609535429e-14,1.9604960977108808e-10,5.881488293132644e-10
anterior-cingulate,dlpfc,LRRC37A2,ENSG00000238083,-19.504786781842345,2.187866039382825e-13,5.055064483994016e-10,2.022025793597607e-09
anterior-cingulate,dlpfc,ARHGAP27,ENSG00000159314,-55.87895525969443,1.7344864222526104e-12,3.206024702891725e-09,1.6030123514458627e-08
anterior-cingulate,dlpfc,PLEKHM1,ENSG00000225190,-65.41070847836336,1.5458196068491278e-11,2.38107746774994e-08,1.4286464806499638e-07
anterior-cingulate,dlpfc,SPPL2C,ENSG00000185294,-51.48891265264592,1.9620115527880888e-10,2.590415824409645e-07,1.813291077086752e-06
anterior-cingulate,dlpfc,AP000662.1,ENSG00000254602,107.30322581959553,5.3960768140338114e-08,6.23381773941256e-05,0.000498705419153
anterior-cingulate,dlpfc,RHEBL1,ENSG00000167550,91.18676982561551,2.232535374217048e-07,0.0002292565769834,0.0020633091928513
anterior-cingulate,dlpfc,CCDC65,ENSG00000139537,26.93154506932325,4.208973832556737e-07,0.0003889933616048,0.0038899336160489
anterior-cingulate,dlpfc,FKBP11,ENSG00000134285,33.13511947413908,1.0758200938004263e-06,0.0008297781552173,0.0099427293069035
anterior-cingulate,dlpfc,PAWR,ENSG00000177425,-84.79202152208163,1.135723494534108e-06,0.0008297781552173,0.0104963565364842
anterior-cingulate,dlpfc,HLA-B,ENSG00000234745,-26.86546189431488,1.1671841612016113e-06,0.0008297781552173,0.0107871160178252
anterior-cingulate,dlpfc,HLA-G,ENSG00000204632,-27.09906030196657,1.6212220629975245e-06,0.0010702381647302,0.0149833343062231
anterior-cingulate,dlpfc,DNMT3B,ENSG00000088305,-47.665732292021616,2.8666404349809096e-06,0.00174999075471,0.0264934909000935
anterior-cingulate,dlpfc,SYNJ1,ENSG00000159082,195.3007547179976,3.3517923895161786e-06,0.00174999075471,0.0309772652639085
anterior-cingulate,dlpfc,HPGDS,ENSG00000163106,-123.4718383406693,3.382451137895502e-06,0.00174999075471,0.0312606134164302
anterior-cingulate,dlpfc,RPS26,ENSG00000197728,11.145056619750877,3.408335163901776e-06,0.00174999075471,0.0314998335847802
anterior-cingulate,dlpfc,LRRC37A,ENSG00000176681,-13.028016020742996,4.265780747267211e-06,0.0019732029501499,0.0394243456662435
anterior-cingulate,dlpfc,FASTKD5,ENSG00000215251,-89.90522976109276,4.399447690731402e-06,0.0019732029501499,0.0406596955577396
anterior-cingulate,dlpfc,AC003070.1,ENSG00000267344,93.39906309828704,4.4835816872051225e-06,0.0019732029501499,0.0414372619531497
anterior-cingulate,dlpfc,NEK4,ENSG00000114904,50.62447492947668,5.042937684533204e-06,0.0021184922763843,0.0466068300804558
anterior-cingulate,dlpfc,UBOX5,ENSG00000185019,35.9126538524093,5.703712490265838e-06,0.0022322930367886,0.0527137108350368
anterior-cingulate,dlpfc,UBE2Z,ENSG00000159202,-44.50236514235549,5.796908989713072e-06,0.0022322930367886,0.0535750328829282
anterior-cingulate,dlpfc,RFTN2,ENSG00000162944,-114.59777064420862,7.091622519032519e-06,0.0025953225536061,0.0655407753208985
